[2026-05-08T18:34:55.739Z] 🎤 Vaja Thai TTS Listener Started
[2026-05-08T18:34:55.741Z] 🎯 Listening for messages from: pran, soma, sayanprasathan, mue
[2026-05-08T18:34:55.741Z] 🚀 Starting inbox watcher...
[2026-05-08T18:34:55.741Z] 📊 Starting status reporter...
[2026-05-08T19:57:57.137Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:58:27.147Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:58:57.151Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:59:27.166Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T19:59:57.172Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:00:27.174Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:00:57.180Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:01:27.194Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:01:57.204Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:02:27.220Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:02:57.224Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:03:27.239Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:03:57.251Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:04:27.262Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:04:57.263Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:05:27.279Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:05:57.294Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:06:27.305Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
